x-axis,1,2
second,Volt,Volt
-100.000E-06,-74.842968E-03,-1.019440946E+00
-99.900E-06,-75.785179E-03,-1.013787680E+00
-99.800E-06,-23.021360E-03,-999.026374E-03
-99.700E-06,+3.046479E-03,-994.315319E-03
-99.600E-06,+20.634418E-03,-982.694716E-03
-99.500E-06,+63.662056E-03,-988.347982E-03
-99.400E-06,+105.433412E-03,-969.817831E-03
-99.300E-06,+141.237432E-03,-984.265067E-03
-99.200E-06,+156.312809E-03,-983.008786E-03
-99.100E-06,+175.785170E-03,-947.518837E-03
-99.000E-06,+212.531401E-03,-952.229892E-03
-98.900E-06,+246.765069E-03,-945.634415E-03
-98.800E-06,+292.619340E-03,-918.938435E-03
-98.700E-06,+317.116827E-03,-918.310294E-03
-98.600E-06,+328.109289E-03,-921.450998E-03
-98.500E-06,+387.468585E-03,-906.061551E-03
-98.400E-06,+415.734916E-03,-906.689691E-03
-98.300E-06,+430.810293E-03,-880.307782E-03
-98.200E-06,+474.466072E-03,-888.473611E-03
-98.100E-06,+492.682152E-03,-877.795219E-03
-98.000E-06,+519.064061E-03,-862.719843E-03
-97.900E-06,+559.265066E-03,-837.280144E-03
-97.800E-06,+575.910794E-03,-836.337933E-03
-97.700E-06,+616.739939E-03,-828.486175E-03
-97.600E-06,+645.948482E-03,-815.295220E-03
-97.500E-06,+668.561547E-03,-808.385672E-03
-97.400E-06,+686.149486E-03,-816.865572E-03
-97.300E-06,+719.126873E-03,-803.360547E-03
-97.200E-06,+747.079134E-03,-786.400748E-03
-97.100E-06,+797.958530E-03,-761.589190E-03
-97.000E-06,+822.456018E-03,-762.217331E-03
-96.900E-06,+845.383153E-03,-748.084165E-03
-96.800E-06,+853.234912E-03,-738.033914E-03
-96.700E-06,+889.981142E-03,-733.008789E-03
-96.600E-06,+944.001242E-03,-714.164568E-03
-96.500E-06,+972.267574E-03,-716.991201E-03
-96.400E-06,+1.005559031E+00,-676.162056E-03
-96.300E-06,+1.049842950E+00,-679.616829E-03
-96.200E-06,+1.059579131E+00,-676.162056E-03
-96.100E-06,+1.060521342E+00,-652.606779E-03
-96.000E-06,+1.118938426E+00,-650.722357E-03
-95.900E-06,+1.141551492E+00,-645.383161E-03
-95.800E-06,+1.150345461E+00,-596.702257E-03
-95.700E-06,+1.189290184E+00,-593.561554E-03
-95.600E-06,+1.211589179E+00,-597.016328E-03
-95.500E-06,+1.235458526E+00,-582.255021E-03
-95.400E-06,+1.268749983E+00,-569.378137E-03
-95.300E-06,+1.302041440E+00,-575.031403E-03
